,name,year,size,HardMark,SSD_HDD,price
191,OCZ-OCTANE S2,20Feb,119.1,1360.0,1,76.8
192,OCZ-ONYX,20Jun,29.8,744.0,1,29.9
193,OCZ-PETROL,20Jan,119.2,1162.0,1,43.7
194,OCZ-SOLID2,20Feb,119.2,787.0,1,232.1
195,OCZ-SOLID3,20May,111.8,2132.0,1,151.9
196,OCZ-VECTOR,20Dec,476.9,3897.0,1,311.0
197,OCZ-VECTOR180,20May,223.6,3837.0,1,232.0
198,OCZ-VERTEX TURBO,20Sep,119.1,746.0,1,212.7
199,OWC Mercury Electra 3G SSD,20Dec,55.9,2021.0,1,438.0
200,OWC Mercury Electra 6G SSD,20Oct,447.1,2905.0,1,83.9
201,Patriot Blast 120GB,20Aug,111.8,2966.0,1,31.9
202,Patriot Blast 240GB,20Aug,223.6,3819.0,1,38.9
203,Patriot Blast 960GB,20Jan,894.3,3802.0,1,139.9
204,Patriot Blaze,20Dec,223.6,1970.0,1,121.2
205,Patriot Blaze SSD,20Oct,111.8,1170.0,1,56.9
206,Patriot Burst,20Sep,223.6,3162.0,1,31.99
207,Patriot Ignite,20Mar,894.3,3142.0,1,152.1
208,Patriot Inferno 100GB SSD,20May,83.3,1605.0,1,310.0
209,Patriot Inferno 120GB SSD,20Sep,94.9,1620.0,1,244.9
210,Patriot Mac Series XT 240GB,20May,223.6,4019.0,1,56.2
211,PATRIOT MEMORY 128GB SSD,20Mar,119.4,570.0,1,163.5
212,PATRIOT MEMORY 64GB SSD,20Dec,59.7,518.0,1,150.9
213,Patriot P200 256GB,20Aug,238.5,3026.0,1,109.0
214,Patriot P200 512GB,20Jul,476.9,3001.0,1,140.0
215,Patriot PS-100 64GB SSD,20Jan,45.8,717.0,1,99.0
216,Patriot Spark,20Aug,238.5,2623.0,1,114.7
217,Patriot Torch,20Dec,111.8,1334.0,1,39.9
218,Patriot Torqx 2 128GB SSD,20Oct,119.2,1153.0,1,199.9
219,Patriot Torqx 2 64GB SSD,20Jul,59.6,1237.0,1,155.4
220,Patriot Torqx 256GB SSD,20Nov,238.4,909.0,1,239.6
221,Patriot Torqx 64GB SSD,20Jul,59.6,629.0,1,63.9
222,Patriot Wildfire,20Jul,111.8,3369.0,1,91.3
223,Phison SSD,20Sep,119.2,3201.0,1,194.9
224,Plextor M2S 64GB PX-64M2S,20Aug,59.6,1668.0,1,129.9
