,name,size,latency,readRate,writeRate,Price,RAMmark
285,Crucial Technology CT4G3S1339M.M16FKD 4GB,4,28.0,11.1,8.0,22.9,741.2320662119856
286,Crucial Technology CT8G3S160BM.C16FED 8GB,8,27.0,15.0,9.3,42.9,769.566816352685
287,Crucial Technology CT8G3S160BM.C16FPD 8GB,8,29.0,12.6,8.3,53.9,716.1578014956999
288,Crucial Technology CT8G3S160BM.M16FED 8GB,8,30.0,11.8,8.3,76.9,692.2987107217666
289,Crucial Technology CT8G3S1339M.M16FDD 8GB,8,37.0,9.7,7.7,57.9,561.6196702423596
290,Crucial Technology CT12864BA160B.M4FK 1GB,1,24.0,14.6,8.9,42.9,864.9316217117834
291,Crucial Technology CT12864BA1339.M4FK 1GB,1,65.0,6.6,4.7,21.9,319.9656251921615
292,Crucial Technology CT25664BA160B.C8F 2GB,2,66.0,6.6,4.6,30.9,315.12669908513936
293,Crucial Technology CT25664BA160B.C8FE 2GB,2,25.0,15.8,8.8,30.9,830.7126553856
294,Crucial Technology CT25664BA160B.C16F 2GB,2,29.0,14.3,10.1,15.9,716.9571795600998
295,Crucial Technology CT25664BA1067.M8FM 2GB,2,79.0,5.2,3.7,32.2,263.1762003284569
296,Crucial Technology CT25664BA1067.M16F 2GB,2,27.0,12.5,7.2,11.9,768.545560710185
297,Crucial Technology CT25664BA1339.C8F1 2GB,2,27.0,12.7,7.5,26.6,768.6644923390851
298,Crucial Technology CT25664BC1339.M8FM 2GB,2,27.0,13.4,7.1,19.9,768.671774196485
299,Crucial Technology CT51264BA160B.C16F 4GB,4,26.0,14.2,9.1,20.9,798.7719927480539
300,Crucial Technology CT51264BA1339.C16F 4GB,4,27.0,13.9,8.4,18.8,769.1242331749851
301,Crucial Technology CT51264BC160B.M16F 4GB,4,28.0,11.1,9.2,47.8,741.5705314619856
302,Crucial Technology CT51264BC1067.M16F 4GB,4,31.0,8.8,5.1,24.9,668.6900180808742
303,Crucial Technology CT51264BC1339.D16F 4GB,4,31.0,10.5,7.7,38.1,669.7150396452741
304,Crucial Technology CT51264BC1339.M16F 4GB,4,28.0,11.8,8.5,23.9,741.4931970068856
305,Crucial Technology CT51264BD160B.C16F 4GB,4,26.0,14.1,9.6,26.99,798.8958622773538
306,Crucial Technology CT51264BD160B.M16F 4GB,4,31.0,12.5,9.4,23.9,670.5376852467741
307,Crucial Technology CT51264BD1339.M16F 4GB,4,25.0,12.1,8.6,18.0,830.0214111571999
308,Crucial Technology CT51264BF160B.C16F 4GB,4,41.75,12.6,9.2,27.99,499.0799190095473
309,Crucial Technology CT51264BF186DJ.C8F 4GB,4,27.0,11.8,7.6,23.9,768.5382788527851
310,Crucial Technology CT51264BF186DJ.M8F 4GB,4,26.0,13.4,9.2,17.9,798.6629369199538
311,Crucial Technology CT51264BF1339.C16F 4GB,4,27.0,10.5,6.9,52.2,768.117791233685
312,Crucial Technology CT51264BF1339.M16F 4GB,4,28.0,11.5,8.2,21.9,741.3571077197856
313,Crucial Technology CT51272BA1067.M18F 4GB,4,71.0,6.2,3.7,13.9,292.7833150416746
314,Crucial Technology CT51272BA1339.M18F 4GB,4,27.0,14.0,8.6,15.4,769.197801708185
315,Crucial Technology CT102464BA160B.16F 8GB,8,26.0,14.1,9.6,34.7,798.8958622773538
316,Crucial Technology CT102464BA160B.C16 8GB,8,40.17647059,13.4,8.2,50.3,518.2955129417933
317,Crucial Technology CT102464BA160B.M16 8GB,8,36.33333333,11.2,6.3,69.9,571.7167197527364
318,Crucial Technology CT102464BA1339.C16 8GB,8,40.8,13.7,7.9,45.0,510.41195795771375
319,Crucial Technology CT102464BA1339.M16 8GB,8,27.0,12.5,7.4,37.9,768.601971585185
320,Crucial Technology CT102464BD160B.C16 8GB,8,40.5,13.1,8.0,44.99,514.0841295143234
321,Crucial Technology CT102464BD160B.M16 8GB,8,39.0,13.6,9.4,29.9,534.1640262876358
