Intel® Xeon® Processor E5 v2 Family,Server,E5-2660V2,Launched,Q3'13,22 nm,$1389.00 - $1393.00,10,20,2.20 GHz,3.00 GHz,25 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2660 v2 @ 2.20GHz,$129.00*,$129.00 ,9863,76.46,1430,11.08,95,103.82,14-Mar,LGA 2011,Server,14-Mar,3/1/2014
Intel® Xeon® Processor E5 v3 Family,Server,E5-2660V3,Launched,Q3'14,22 nm,$1445.00 - $1449.00,10,20,2.60 GHz,3.30 GHz,25 MB SmartCache,9.6 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2660 v3 @ 2.60GHz,429.89,429.8,13451,31.29,1802,4.19,105,128.1,14-Sep,LGA2011-v3,Server,14-Sep,9/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2660V4,Launched,Q1'16,14 nm,"$1,445.00 ",14,28,2.00 GHz,3.20 GHz,35 MB,9.6 GT/s QPI,105 W,No,Yes,,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2660 v4 @ 2.00GHz,"$1,429.95*","$1,429.95 ",13371,9.35,1728,1.21,105,127.34,16-Nov,FCLGA2011-3,Server,16-Nov,11/1/2016
Intel® Xeon® Processor E5 Family,Server,E5-2665,End of Life,Q1'12,32 nm,$1440.00 - $1444.00,8,16,2.40 GHz,3.10 GHz,20 MB SmartCache,8 GT/s QPI,115 W,No,,384 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,81.8°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-2665 @ 2.40GHz,64.99,64.9,8608,132.46,1447,22.27,115,74.86,12-Jun,LGA2011,Server,12-Jun,6/1/2012
Intel® Xeon® Processor E5 Family,Server,E5-2667,End of Life,Q1'12,32 nm,"$1,552.00 ",6,12,2.90 GHz,3.50 GHz,15 MB SmartCache,8 GT/s QPI,130 W,No,,384 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,85.0°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-2667 @ 2.90GHz,39.99,39.9,7410,185.3,1604,40.11,130,57,12-Aug,LGA2011,Server,12-Aug,8/1/2012
Intel® Xeon® Processor E5 v2 Family,Server,E5-2667V2,Launched,Q3'13,22 nm,"$2,057.00 ",8,16,3.30 GHz,4.00 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2667 v2 @ 3.30GHz,179.99,179.9,12105,67.25,1941,10.78,130,93.12,14-Feb,LGA 2011,Server,14-Feb,2/1/2014
Intel® Xeon® Processor E5 v3 Family,Server,E5-2667V3,Launched,Q3'14,22 nm,"$2,057.00 ",8,16,3.20 GHz,3.60 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.8°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2667 v3 @ 3.20GHz,345,34,12518,36.28,2041,5.92,135,92.73,14-Dec,LGA2011-v3,Server,14-Dec,12/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2667V4,Launched,Q1'16,14 nm,"$2,057.00 ",8,16,3.20 GHz,3.60 GHz,25 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,78°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2667 v4 @ 3.20GHz,$931.10*,$931.10 ,13624,14.63,2229,2.39,135,100.92,16-Jul,FCLGA2011-3,Server,16-Jul,7/1/2016
Intel® Xeon® Processor E5 Family,Server,E5-2670,End of Life,Q1'12,32 nm,$1552.00 - $1556.00,8,16,2.60 GHz,3.30 GHz,20 MB SmartCache,8 GT/s QPI,115 W,No,,384 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,80.0°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-2670 @ 2.60GHz,105.01,105,9321,88.76,1497,14.26,115,81.05,12-Mar,LGA2011,Server,12-Mar,3/1/2012
Intel® Xeon® Processor E5 v2 Family,Server,E5-2670V2,Launched,Q3'13,22 nm,$1552.00 - $1556.00,10,20,2.50 GHz,3.30 GHz,25 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2670 v2 @ 2.50GHz,$144.99*,$144.99 ,11090,76.49,1610,11.1,115,96.44,14-Feb,FCLGA2011,Server,14-Feb,2/1/2014
Intel® Xeon® Processor E5 v3 Family,Server,E5-2670V3,Launched,Q3'14,22 nm,$1589.00 - $1593.00,12,24,2.30 GHz,3.10 GHz,30 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84.5°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2670 v3 @ 2.30GHz,119,11,13613,114.39,1687,14.18,120,113.44,14-Aug,LGA2011-v3,Server,14-Aug,8/1/2014
Intel® Xeon® Processor E5 Family,Server,E5-2680,End of Life,Q1'12,32 nm,$1723.00 - $1727.00,8,16,2.70 GHz,3.50 GHz,20 MB SmartCache,8 GT/s QPI,130 W,No,,384 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,85°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-2680 @ 2.70GHz,61.48,61.4,9441,153.56,1514,24.62,130,72.62,12-May,LGA2011,Server,12-May,5/1/2012
Intel® Xeon® Processor E5 v2 Family,Server,E5-2680V2,Launched,Q3'13,22 nm,$1723.00 - $1727.00,10,20,2.80 GHz,3.60 GHz,25 MB SmartCache,8 GT/s QPI,115 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2680 v2 @ 2.80GHz,139.99,139.9,12613,90.1,1807,12.91,115,109.68,13-Jul,FCLGA2011,Server,13-Jul,7/1/2013
Intel® Xeon® Processor E5 v3 Family,Server,E5-2680V3,Launched,Q3'14,22 nm,$1745.00 - $1749.00,12,24,2.50 GHz,3.30 GHz,30 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84.5°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2680 v3 @ 2.50GHz,164.99,164.9,15223,92.27,1809,10.96,120,126.86,14-Oct,LGA2011-v3,Server,14-Oct,10/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2680V4,Launched,Q1'16,14 nm,$1745.00 - $1749.00,14,28,2.40 GHz,3.30 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,86°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2680 v4 @ 2.40GHz,"$1,509.00*","$1,509.00 ",15301,10.14,1931,1.28,120,127.51,16-May,FCLGA2011-3,Server,16-May,5/1/2016
Intel® Xeon® Processor E5 v3 Family,Server,E5-2683V3,Launched,Q3'14,22 nm,"$1,846.00 ",14,28,2.00 GHz,3.00 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82.5°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2683 v3 @ 2.00GHz,384,38,13725,35.74,1677,4.37,120,114.37,15-Feb,LGA2011-v3,Server,15-Feb,2/1/2015
Intel® Xeon® Processor E5 v4 Family,Server,E5-2683V4,Launched,Q1'16,14 nm,"$1,846.00 ",16,32,2.10 GHz,3.00 GHz,40 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2683 v4 @ 2.10GHz,$389.00*,$389.00 ,14871,38.23,1656,4.26,120,123.93,16-Dec,FCLGA2011-3,Server,16-Dec,12/1/2016
Intel® Xeon® Processor E5 Family,Server,E5-2687W,End of Life,Q1'12,32 nm,$1885.00 - $1890.00,8,16,3.10 GHz,3.80 GHz,20 MB SmartCache,8 GT/s QPI,150 W,No,,256 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,67°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-2687W @ 3.10GHz,205.09,205,7526,36.7,1670,8.14,150,50.17,12-Feb,LGA2011,Server,12-Feb,2/1/2012
Intel® Xeon® Processor E5 v2 Family,Server,E5-2687WV2,Launched,Q3'13,22 nm,$2108.00 - $2112.00,8,16,3.40 GHz,4.00 GHz,25 MB SmartCache,8 GT/s QPI,150 W,No,Yes,256 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,72°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2687W v2 @ 3.40GHz,$335.00*,$335.00 ,11798,35.22,2006,5.99,150,78.66,13-Jul,FCLGA2011,Server,13-Jul,7/1/2013
Intel® Xeon® Processor E5 v3 Family,Server,E5-2687WV3,Launched,Q3'14,22 nm,$2141.00 - $2145.00,10,20,3.10 GHz,3.50 GHz,25 MB SmartCache,9.6 GT/s QPI,160 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74.7°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2687W v3 @ 3.10GHz,$608.99*,$608.99 ,13578,22.3,1915,3.15,160,84.86,14-Oct,LGA2011-v3,Server,14-Oct,10/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2687WV4,Launched,Q1'16,14 nm,$2141.00 - $2145.00,12,24,3.00 GHz,3.50 GHz,30 MB SmartCache,9.6 GT/s QPI,160 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2687W v4 @ 3.00GHz,"$2,174.99*","$2,174.99 ",17066,7.85,2137,0.98,160,106.66,16-May,FCLGA2011-3,Server,16-May,5/1/2016
Intel® Xeon® Processor E5 Family,Server,E5-2690,End of Life,Q1'12,32 nm,$2057.00 - $2061.00,8,16,2.90 GHz,3.80 GHz,20 MB SmartCache,8 GT/s QPI,135 W,No,,384 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,72.0 °C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-2690 @ 2.90GHz,67.85,67.8,9982,147.12,1691,24.93,135,73.94,12-Mar,LGA2011,Server,12-Mar,3/1/2012
Intel® Xeon® Processor E5 v2 Family,Server,E5-2690V2,Launched,Q3'13,22 nm,$2057.00 - $2061.00,10,20,3.00 GHz,3.60 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,88°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2690 v2 @ 3.00GHz,250.5,250,13178,52.61,1721,6.87,130,101.37,13-Jul,FCLGA2011,Server,13-Jul,7/1/2013
Intel® Xeon® Processor E5 v3 Family,Server,E5-2690V3,Launched,Q3'14,22 nm,$2090.00 - $2094.00,12,24,2.60 GHz,3.50 GHz,30 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,89.9°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2690 v3 @ 2.60GHz,215,21,15758,73.29,1796,8.36,135,116.73,14-Sep,LGA2011-v3,Server,14-Sep,9/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2690V4,Launched,Q1'16,14 nm,$2090.00 - $2094.00,14,28,2.60 GHz,3.50 GHz,35 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,89°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2690 v4 @ 2.60GHz,"$2,169.99*","$2,169.99 ",16481,7.59,2090,0.96,135,122.08,16-May,FCLGA2011-3,Server,16-May,5/1/2016
Intel® Xeon® Processor E5 v2 Family,Server,E5-2695V2,Launched,Q3'13,22 nm,$2336.00 - $2340.00,12,24,2.40 GHz,3.20 GHz,30 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,81°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2695 v2 @ 2.40GHz,248.99,248.9,12836,51.55,1381,5.54,115,111.62,13-Dec,LGA 2011,Server,13-Dec,12/1/2013
Intel® Xeon® Processor E5 v3 Family,Server,E5-2695V3,Launched,Q3'14,22 nm,$2424.00 - $2428.00,14,28,2.30 GHz,3.30 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2695 v3 @ 2.30GHz,$479.00*,$479.00 ,15575,32.51,1826,3.81,120,129.79,14-Sep,LGA2011-v3,Server,14-Sep,9/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2695V4,Launched,Q1'16,14 nm,$2424.00 - $2428.00,18,36,2.10 GHz,3.30 GHz,45 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2695 v4 @ 2.10GHz,"$5,808.00*","$5,808.00 ",18723,3.22,1871,0.32,120,156.03,16-Aug,FCLGA2011-3,Server,16-Aug,8/1/2016
Intel® Xeon® Processor E5 v2 Family,Server,E5-2697V2,Launched,Q3'13,22 nm,$2614.00 - $2618.00,12,24,2.70 GHz,3.50 GHz,30 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,86°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-2697 v2 @ 2.70GHz,227.43,227.4,9338,41.06,1742,7.66,130,71.83,13-Jun,FCLGA2011,Server,13-Jun,6/1/2013
Intel® Xeon® Processor E5 v3 Family,Server,E5-2697V3,Launched,Q3'14,22 nm,$2702.00 - $2706.00,14,28,2.60 GHz,3.60 GHz,35 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76.7°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2697 v3 @ 2.60GHz,599,59,16199,27.04,1998,3.34,145,111.72,14-Aug,LGA2011-v3,Server,14-Aug,8/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2697V4,Launched,Q1'16,14 nm,"$2,702.00 ",18,36,2.30 GHz,3.60 GHz,45 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2697 v4 @ 2.30GHz,"3,162.13",3162.1,16298,5.15,1894,0.6,145,112.4,16-May,FCLGA2011-3,Server,16-May,5/1/2016
Intel® Xeon® Processor E5 v4 Family,Server,E5-2697AV4,Launched,Q1'16,14 nm,"$2,891.00 ",16,32,2.60 GHz,3.60 GHz,40 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,78°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2697A v4 @ 2.60GHz,NA,0,17709,NA,2203,NA,145,122.13,16-Jun,FCLGA2011-3,Server,16-Jun,6/1/2016
Intel® Xeon® Processor E5 v3 Family,Server,E5-2698V3,Announced,Q3'14,22 nm,N/A,16,32,2.30 GHz,3.60 GHz,40 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,x4 x8 x16,40,87.9°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2698 v3 @ 2.30GHz,$729.00*,$729.00 ,17940,24.61,1931,2.65,135,132.89,14-Sep,LGA2011-v3,Server,14-Sep,9/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2698V4,Launched,Q1'16,14 nm,"$3,226.00 ",20,40,2.20 GHz,3.60 GHz,50 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,90°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2698 v4 @ 2.20GHz,"$3,629.59*","$3,629.59 ",16289,4.49,1734,0.48,135,120.66,16-Jun,FCLGA2011-3,Server,16-Jun,6/1/2016
Intel® Xeon® Processor E5 v3 Family,Server,E5-2699V3,Announced,Q3'14,22 nm,N/A,18,36,2.30 GHz,3.60 GHz,45 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76.4°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2699 v3 @ 2.30GHz,799,79,16541,20.7,1768,2.21,145,114.07,14-Sep,LGA2011-v3,Server,14-Sep,9/1/2014
Intel® Xeon® Processor E5 v4 Family,Server,E5-2699V4,Launched,Q1'16,14 nm,"$4,115.00 ",22,44,2.20 GHz,3.60 GHz,55 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2699 v4 @ 2.20GHz,"3,588.95",3588.9,18931,5.27,2042,0.57,145,130.56,16-Apr,FCLGA2011-3,Server,16-Apr,4/1/2016
Intel® Xeon® Processor E5 v4 Family,Server,E5-2699AV4,Launched,04'16,14 nm,"$4,938.00 ",22,44,2.40 GHz,3.60 GHz,55 MB,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-2699A v4 @ 2.40GHz,"$4,938.00*","$4,938.00 ",16516,3.34,1435,0.29,145,113.91,19-Feb,FCLGA2011-3,Server,19-Feb,2/1/2019
Intel® Xeon® Processor E5 Family,Server,E5-4603,End of Life,Q2'12,32 nm,$551.00 - $555.00,4,8,2.00 GHz,,10 MB SmartCache,6.4 GT/s QPI,95 W,No,,384 GB,DDR3 800/1066 ,4,34.1 GB/s,Yes,,,,,,,,,,,,3,,40,,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-4603 @ 2.00GHz,$96.04*,$96.04 ,3414,35.55,964,10.04,95,35.94,14-Mar,LGA 2011,Server,14-Mar,3/1/2014
Intel® Xeon® Processor E5 v2 Family,Server,E5-4607V2,Launched,Q1'14,22 nm,$885.00 ,6,12,2.60 GHz,2.60 GHz,15 MB SmartCache,6.4 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333 ,4,42.6 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-4607 v2 @ 2.60GHz,NA,0,6289,NA,1327,NA,95,66.2,16-Jul,FCLGA2011,Server,16-Jul,7/1/2016
Intel® Xeon® Processor E5 Family,Server,E5-4610,End of Life,Q2'12,32 nm,$1219.00 - $1223.00,6,12,2.40 GHz,2.90 GHz,15 MB SmartCache,7.2 GT/s QPI,95 W,No,,384 GB,DDR3 800/1066/1333 ,4,42.6 GB/s,Yes,,,,,,,,,,,,3,,40,,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-4610 @ 2.40GHz,"$1,223.00*","$1,223.00 ",6505,5.32,1417,1.16,95,68.47,18-Nov,FCLGA2011,Server,18-Nov,11/1/2018
Intel® Xeon® Processor E5 v3 Family,Server,E5-4610V3,Launched,Q2'15,22 nm,"$1,219.00 ",10,20,1.70 GHz,1.70 GHz,25 MB,6.4 GT/s QPI,105 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-4610 v3 @ 1.70GHz,"$1,219.00*","$1,219.00 ",6797,5.58,998,0.82,105,64.73,19-Aug,FCLGA2011-3,Server,19-Aug,8/1/2019
Intel® Xeon® Processor E5 Family,Server,E5-4617,End of Life,Q2'12,32 nm,"$1,611.00 ",6,6,2.90 GHz,3.40 GHz,15 MB SmartCache,7.2 GT/s QPI,130 W,No,,384 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,,No,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-4617 @ 2.90GHz,$89.90*,$89.90 ,6342,70.54,1570,17.46,130,48.78,14-Feb,LGA 2011,Server,14-Feb,2/1/2014
Intel® Xeon® Processor E5 Family,Server,E5-4620,End of Life,Q2'12,32 nm,$1611.00 - $1616.00,8,16,2.20 GHz,2.60 GHz,16 MB SmartCache,7.2 GT/s QPI,95 W,No,,384 GB,DDR3 800/1066/1333 ,4,42.6 GB/s,Yes,,,,,,,,,,,,3,,40,,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Xeon E5-4620 @ 2.20GHz,$134.21*,$134.21 ,6877,51.24,1253,9.34,95,72.39,15-Oct,LGA 2011,Server,15-Oct,10/1/2015
Intel® Xeon® Processor E5 v3 Family,Server,E5-4620V3,Launched,Q2'15,22 nm,"$1,668.00 ",10,20,2.00 GHz,2.60 GHz,25 MB,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.7°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-4620 v3 @ 2.00GHz,"$1,668.00*","$1,668.00 ",10681,6.4,NA,NA,105,101.73,19-Dec,FCLGA2011-3,Server,19-Dec,12/1/2019
Intel® Xeon® Processor E5 v2 Family,Server,E5-4627V2,Launched,Q1'14,22 nm,"$2,108.00 ",8,8,3.30 GHz,3.60 GHz,16 MB SmartCache,7.2 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,88°C,No,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,Intel Xeon E5-4627 v2 @ 3.30GHz,$508.95*,$508.95 ,8608,16.91,1769,3.48,130,66.21,15-Apr,FCLGA2011,Server,15-Apr,4/1/2015
Intel® Xeon® Processor E5 v3 Family,Server,E5-4627V3,Launched,Q2'15,22 nm,"$2,225.00 ",10,10,2.60 GHz,3.20 GHz,25 MB,8 GT/s QPI,135 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,86.4°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-4627 v3 @ 2.60GHz,"$2,400.00*","$2,400.00 ",11150,4.65,1763,0.73,135,82.59,16-Dec,FCLGA2011-3,Server,16-Dec,12/1/2016
Intel® Xeon® Processor E5 v4 Family,Server,E5-4627V4,Launched,Q2'16,14 nm,"$2,225.00 ",10,10,2.60 GHz,3.20 GHz,25 MB,8 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,Intel Xeon E5-4627 v4 @ 2.60GHz,"$2,225.00*","$2,225.00 ",12524,5.63,2039,0.92,135,92.77,17-Apr,FCLGA2011-3,Server,17-Apr,4/1/2017
