,name,year,TDP,Price,G3D_Mark,G2D_Mark
250,FirePro W2100,2014,26.0,113.9,895.0,388.0
251,FirePro 3D V4800,2010,69.0,159.9,882.0,356.0
252,Radeon HD 4850,2012,110.0,42.6,877.0,231.0
253,Radeon HD 4830,2012,95.0,59.9,864.0,206.0
254,Radeon R7 FX-9800P RADEON,2016,-1.0,530.0,848.0,341.0
255,GeForce GT 730,2014,49.0,89.99,838.0,227.0
256,GeForce GT 635,2013,-1.0,66.9,831.0,514.0
257,Quadro 2000M,2012,55.0,46.5,816.0,262.0
258,Radeon R7 240,2013,30.0,69.9,813.0,227.0
259,Radeon R7 A12-9720P RADEON,2017,-1.0,365.4,813.0,207.0
260,GRID K1,2013,-1.0,395.0,811.0,463.0
261,GeForce GT 440,2010,65.0,69.9,799.0,252.0
262,Radeon HD 7650A,2012,-1.0,262.0,793.0,707.0
263,Radeon HD 5670,2012,64.0,47.8,784.0,294.0
264,NVS 510,2012,35.0,335.78,775.0,369.0
265,GeForce GT 340,2011,69.0,52.9,774.0,469.0
266,Quadro FX 3800,2009,108.0,98.9,764.0,224.0
267,FirePro V3900,2012,50.0,129.9,759.0,320.0
268,Quadro K1000M,2012,45.0,69.9,756.0,282.0
269,Quadro K600,2013,41.0,34.9,751.0,271.0
270,Quadro K420,2014,41.0,188.3,742.0,258.0
271,Radeon R7 A12-9700P RADEON,2016,-1.0,435.9,725.0,181.0
272,GeForce GTS 240,2009,120.0,64.9,714.0,430.0
273,Quadro K610M,2014,30.0,75.0,707.0,269.0
274,Radeon HD 7570,2012,44.0,51.4,694.0,383.0
275,Radeon HD 6670,2012,66.0,102.9,689.0,225.0
276,GeForce 9800 GTX/9800 GTX+,2009,-1.0,89.9,667.0,378.0
277,GeForce GT 640M LE,2012,32.0,849.9,666.0,178.0
278,Quadro 500M,2013,35.0,275.1,664.0,588.0
279,FireGL V7700,2011,-1.0,174.9,660.0,422.0
280,GeForce 8800 GTX,2012,155.0,199.9,656.0,261.0
281,GeForce GT 530,2011,50.0,49.0,644.0,304.0
282,GeForce GT 630,2012,50.0,575.0,635.0,177.0
283,Radeon R5 330,2017,30.0,339.9,635.0,285.0
284,Radeon R5 420,2017,-1.0,39.9,620.0,341.0
285,GeForce GTS 250,2012,150.0,89.9,619.0,269.0
286,Quadro FX 5600,2009,-1.0,168.9,613.0,403.0
287,GeForce GT 710,2014,25.0,35.99,605.0,197.0
288,Quadro 1000M,2012,45.0,54.5,603.0,207.0
289,GeForce GT 720,2014,19.0,99.9,588.0,192.0
290,Radeon HD 3870,2012,106.0,279.9,587.0,227.0
291,GeForce GT 240,2012,69.0,57.9,569.0,227.0
292,Quadro FX 3700M,2009,75.0,925.0,567.0,312.0
293,Intel HD 5000,2013,-1.0,625.0,561.0,246.0
294,Quadro 600,2012,40.0,59.9,557.0,222.0
295,GeForce GT 330,2010,-1.0,39.9,555.0,467.0
296,FireGL V8650,2010,-1.0,329.9,550.0,637.0
297,GeForce GT 430,2012,49.0,159.9,550.0,166.0
298,FirePro 3D V5700,2009,58.0,319.9,547.0,517.0
299,FirePro 3D V7750,2009,76.0,350.0,545.0,468.0
300,GeForce 8800 GT,2009,125.0,269.9,536.0,253.0
301,GeForce 9800M GTX,2009,75.0,328.5,517.0,333.0
302,Radeon R5 240,2014,50.0,61.0,514.0,226.0
303,GeForce GT 540M,2012,32.0,87.9,497.0,92.0
304,Radeon HD 6570,2012,44.0,49.9,496.0,199.0
305,Radeon HD 7470,2012,27.0,18.7,486.0,343.0
306,Radeon HD 7670M,2012,20.0,629.9,476.0,149.0
307,Radeon R7 M260,2014,-1.0,799.0,474.0,143.0
308,FirePro 3D V3800,2010,43.0,149.9,472.0,507.0
309,GeForce 9600 GT,2011,95.0,70.0,472.0,180.0
310,GeForce 9800 GT,2012,125.0,149.9,464.0,268.0
311,GeForce GT 320,2010,43.0,32.6,462.0,225.0
312,GeForce GT 130,2009,75.0,27.9,456.0,386.0
313,Radeon HD 5570,2012,39.0,179.42,451.0,186.0
314,Quadro FX 4600,2009,134.0,124.9,448.0,390.0
