,name,year,process,noCores,noThreads,baseFreq,CacheVal,maxMem,MemType,MemType_class,MemChannels,PCI_express,HyperTh,virtualTh,intel64,TDP,price,CPUMark,ThreadMark
489,Intel i7-7820HK,2017,14,4,8,2.9,8,64,DDR4,2,2,16,1,1,1,45,378,7829,2271
490,Intel i7-7820HQ,2017,14,4,8,2.9,8,64,DDR4,2,2,16,1,1,1,45,378,7331,2155
491,Intel i7-7820X,2017,14,8,16,3.6,11,128,DDR4,2,4,28,1,1,1,140,589,17828,2515
492,Intel i7-7920HQ,2017,14,4,8,3.1,8,64,DDR4,2,2,16,1,1,1,45,568,7976,2363
493,Intel i7-7Y75,2016,14,2,4,1.3,4,16,DDR3,1,2,10,1,1,1,4.5,393,2644,1685
494,Intel i7-840QM,2010,45,4,8,1.86,8,8,DDR3,1,2,16,1,1,1,45,570,1851,974
495,Intel i7-8550U,2017,14,4,8,1.8,8,32,DDR4,2,2,12,1,1,1,15,409,6127,2151
496,Intel i7-860,2009,45,4,8,2.8,8,16,DDR3,1,2,16,1,1,1,95,257,2918,1333
497,Intel i7-860S,2010,45,4,8,2.53,8,16,DDR3,1,2,16,1,1,1,82,362,2734,1378
498,Intel i7-8650U,2017,14,4,8,1.9,8,32,DDR4,2,2,12,1,1,1,15,409,6609,2258
499,Intel i7-870,2009,45,4,8,2.93,8,16,DDR3,1,2,16,1,1,1,95,305,3085,1397
500,Intel i7-875K,2010,45,4,8,2.93,8,16,DDR3,1,2,16,1,1,1,95,353,3030,1324
501,Intel i7-920,2008,45,4,8,2.66,8,24,DDR3,1,3,1,1,1,1,130,305,2715,1228
502,Intel i7-930,2010,45,4,8,2.8,8,24,DDR3,1,3,1,1,1,1,130,305,2958,1290
503,Intel i7-940,2008,45,4,8,2.93,8,24,DDR3,1,3,1,1,1,1,130,555,3024,1357
504,Intel i7-950,2009,45,4,8,3.06,8,24,DDR3,1,3,1,1,1,1,130,305,3017,1382
505,Intel i7-960,2009,45,4,8,3.2,8,24,DDR3,1,3,1,1,1,1,130,305,3219,1463
506,Intel i7-965,2008,45,4,8,3.2,8,24,DDR3,1,3,1,1,1,1,130,990,3340,1485
507,Intel i7-970,2010,32,6,12,3.2,12,24,DDR3,1,3,1,1,1,1,130,594,6724,1483
508,Intel i7-975,2009,45,4,8,3.33,8,24,DDR3,1,3,1,1,1,1,130,1059,3198,1525
509,Intel i7-980,2011,32,6,12,3.33,12,24,DDR3,1,3,1,1,1,1,130,594,6888,1531
510,Intel i7-980X,2010,32,6,12,3.33,12,24,DDR3,1,3,1,1,1,1,130,1059,6554,1535
511,Intel i7-990X,2011,32,6,12,3.46,12,24,DDR3,1,3,1,1,1,1,130,1059,7284,1596
512,Intel i9-7900X,2017,14,10,20,3.3,13.75,128,DDR4,2,4,44,1,1,1,140,989,21335,2538
513,Intel i9-7920X,2017,14,12,24,2.9,16.5,128,DDR4,2,4,44,1,1,1,140,1189,23398,2519
514,Intel 5Y10c,2014,14,2,4,800,4,16,DDR3,1,2,12,1,1,1,4.5,281,1828,1007
515,Intel 5Y31,2014,14,2,4,900,4,16,DDR3,1,2,12,1,1,1,4.5,281,1972,1199
516,Intel 5Y51,2014,14,2,4,1.1,4,16,DDR3,1,2,12,1,1,1,4.5,281,1532,994
517,Intel 5Y71,2014,14,2,4,1.2,4,16,DDR3,1,2,12,1,1,1,4.5,281,2002,1260
518,Intel M3-6Y30,2015,14,2,4,900,4,16,DDR3,1,2,10,1,1,1,4.5,281,1796,1027
519,Intel M3-7Y30,2016,14,2,4,1,4,16,DDR3,1,2,10,1,1,1,4.5,281,2691,1422
520,Intel M3-7Y32,2017,14,2,4,1.1,4,16,DDR3,1,2,10,1,1,1,4.5,281,2578,1468
521,Intel M5-6Y54,2015,14,2,4,1.1,4,16,DDR3,1,2,10,1,1,1,7,281,2634,1471
522,Intel M5-6Y57,2015,14,2,4,1.1,4,16,DDR3,1,2,10,1,1,1,7,281,2470,1418
523,Intel M7-6Y75,2015,14,2,4,1.2,4,16,DDR3,1,2,10,1,1,1,7,393,2179,1303
524,Intel E7300,2008,45,2,1,2.66,3,1,DDR3,1,1,1,0,0,1,65,117,990,1126
525,Intel E7400,2008,45,2,1,2.8,3,1,DDR3,1,1,1,0,0,1,65,110,978,1099
526,Intel E7500,2009,45,2,1,2.93,3,1,DDR3,1,1,1,0,0,1,65,125,1057,1187
527,Intel E7600,2009,45,2,1,3.06,3,1,DDR3,1,1,1,0,1,1,65,147,1202,1227
528,Intel E8400,2008,45,2,1,3,6,1,DDR3,1,1,1,0,1,1,65,149,1181,1245
529,Intel E8500,2008,45,2,1,3.16,6,1,DDR3,1,1,1,0,1,1,65,200,1237,1323
530,Intel E8600,2008,45,2,1,3.33,6,1,DDR3,1,1,1,0,1,1,65,285,1366,1405
