,name,year,TDP,price,G3DMark,G2DMark
364,GeForce GT 120,2009,50,29.9,206,289
365,Quadro FX 4500,2009,109,230.3,205,265
366,GeForce 7950 GX2,2009,-1,54.9,202,413
367,GeForce 7600 GS,2012,-1,175,201,94
368,RADEON HD7450,2014,-1,22.2,199,215
369,Radeon HD 6450,2011,18,52.99,195,113
370,Quadro FX 1500,2009,65,115,183,196
371,FireGL V3600,2009,-1,160.9,180,399
372,FirePro 3D V3700,2011,32,84.9,179,466
373,Quadro 400,2011,32,39.9,173,276
374,Radeon HD 7340,2012,-1,552.6,172,79
375,Quadro FX 580,2009,40,68.8,170,262
376,GeForce 315,2010,33,32.9,164,214
377,GeForce 7600 GT,2009,-1,84.9,164,159
378,RADEON HD 6350,2011,19.1,35.9,158,257
379,Radeon HD 6320,2011,45,554.9,151,36
380,Quadro FX 3450,2009,83,119.9,149,235
381,GeForce 9500 GT,2009,50,85.9,146,123
382,NVS 300,2011,17.5,14,142,352
383,Radeon R5 220,2015,19,85.2,142,102
384,GeForce 405,2011,-1,24.6,138,240
385,GeForce 310,2010,30.5,108.3,136,207
386,EAH5450,2017,-1,109.9,134,216
387,FireGL V7300,2009,-1,1189.9,128,322
388,Quadro FX 1700,2009,42,27.5,122,159
389,Radeon HD 2400,2012,-1,24.8,121,298
390,GeForce 8400 GS,2012,40,49.9,118,145
391,FireMV 2260,2011,15,104.9,117,488
392,Quadro FX 570,2009,38,74.9,115,401
393,Quadro FX 560,2009,30,150.2,114,360
394,GeForce 6800,2009,-1,39.9,113,258
395,GeForce 8600 GT,2012,47,189,113,165
396,FireGL V7350,2011,-1,19.9,111,344
397,GeForce G210,2009,-1,63.1,111,148
398,Quadro FX 380,2012,34,72.5,111,279
399,GeForce 7300 GT,2009,-1,149.9,110,165
400,Quadro FX 1400,2011,70,245,104,294
401,Radeon HD 4350,2012,20,149.9,102,85
402,GeForce 6600 GT,2010,-1,64.9,101,279
403,GeForce 8400,2009,-1,589.9,101,314
404,GeForce 9400 GT,2010,50,165,99,148
