,Brand,Name,year,Memory,Memory_speed,Memory_bus,Memory_Type,Memory_bandwidth,power,openGl,process,L2Cache,DirectX,Resolution,price,G2DMark,G3DMark
193,AMD,Radeon HD 5830,2010,0,1000,1,1,128.0,175,9,40,0,0,3,159.9,298,1792
194,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
195,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
196,AMD,Radeon HD 5970,2009,5,1000,3,1,256.0,294,9,40,0,0,3,329.9,396,2395
197,AMD,Radeon HD 6320,2010,5,1100,0,0,20.8,18,1,40,0,0,6,554.9,36,151
198,AMD,Radeon HD 6450,2011,5,800,4,1,25.6,18,10,40,128,10,0,52.99,113,195
199,AMD,Radeon HD 6470M,2011,0,800,4,0,12.8,11,10,40,128,10,5,569.9,100,245
200,AMD,Radeon HD 6490M,2011,5,800,4,1,25.6,14,10,40,128,10,0,1193.0,514,378
201,AMD,Radeon HD 6570,2011,0,1000,0,1,64.0,60,10,40,256,10,1,49.9,199,496
202,AMD,Radeon HD 6670,2011,0,1000,0,1,64.0,66,10,40,256,10,1,102.9,225,689
203,AMD,Radeon HD 6750,2011,0,1150,0,1,73.6,86,10,40,256,10,1,49.9,340,1128
204,AMD,Radeon HD 6770,2011,0,1200,0,1,76.8,108,10,40,256,10,1,76.9,300,1212
205,AMD,Radeon HD 6790,2011,0,1050,1,1,134.4,150,10,40,512,10,1,64.9,278,1838
206,AMD,Radeon HD 6850,2010,0,1000,1,1,128.0,127,10,40,512,10,12,165.3,358,2008
207,AMD,Radeon HD 6870,2010,0,1050,1,1,134.4,151,10,40,512,10,3,150.0,436,2149
208,AMD,Radeon HD 6950,2010,1,1250,1,1,160.0,200,10,40,512,10,3,148.3,357,2746
209,AMD,Radeon HD 6970,2010,1,1375,1,1,176.0,250,10,40,512,10,3,59.9,396,2942
210,AMD,Radeon HD 6970M,2011,1,900,1,1,115.2,75,10,40,512,10,3,215.9,656,2270
211,AMD,Radeon HD 6990,2011,2,1250,1,1,320.0,375,10,40,1024,10,3,159.9,563,2933
212,AMD,Radeon HD 7340,2012,5,667,4,0,10.7,18,10,40,1024,10,7,552.6,79,172
213,AMD,Radeon HD 7450,2012,5,533,4,4,8.5,18,10,40,128,10,5,49.9,232,238
214,AMD,Radeon HD 7470,2012,5,900,4,1,28.8,18,10,40,128,10,0,18.7,343,486
215,AMD,Radeon HD 7570,2012,0,800,0,1,51.2,60,10,40,256,10,1,51.4,383,694
216,AMD,Radeon HD 7650A,2012,0,900,0,0,28.8,33,1,40,0,0,13,262.0,707,793
217,AMD,Radeon HD 7670M,2012,0,900,0,0,28.8,20,10,40,256,10,0,629.9,149,476
218,AMD,Radeon HD 7730,2013,0,1125,0,1,72.0,47,2,28,512,2,1,49.9,451,1469
219,AMD,Radeon HD 7690M XT,2013,0,900,0,1,57.6,25,10,40,256,10,1,144.99,377,1687
220,AMD,Radeon HD 7690M XT,2013,0,900,0,1,57.6,25,10,40,256,10,1,144.99,377,1687
221,AMD,Radeon HD 7790,2013,0,1500,0,1,96.0,85,0,28,512,1,1,180.3,473,3095
222,AMD,Radeon HD 7850,2012,1,1200,1,1,153.6,130,2,28,512,2,3,75.0,520,3763
223,AMD,Radeon HD 7870,2012,1,1200,1,1,153.6,175,2,28,512,2,3,147.0,545,4678
224,AMD,Radeon HD 7870 XT,2012,1,1500,1,1,192.0,185,2,28,512,2,3,270.0,661,4470
225,AMD,Radeon HD 7990,2013,3,1500,2,1,576.0,375,2,28,1536,2,4,990.4,766,5566
226,AMD,Radeon HD 8970M,2013,1,1200,1,1,153.6,100,2,28,512,2,3,139.9,807,3876
227,AMD,Radeon R5 220,2013,0,533,4,0,8.5,19,10,40,128,10,5,85.2,102,142
228,AMD,Radeon R5 230,2014,0,533,4,0,8.5,19,10,40,128,10,5,59.9,503,242
229,AMD,Radeon R5 235,2013,0,900,4,0,14.4,35,10,40,128,10,5,60.1,346,313
230,AMD,Radeon R7 250X,2014,1,1125,0,1,72.0,80,2,28,512,2,1,260.7,637,2269
231,AMD,Radeon R7 260,2013,1,1500,0,1,96.0,95,2,28,512,2,1,89.9,559,2892
232,AMD,Radeon R7 260X,2013,1,1625,0,1,104.0,115,2,28,512,2,1,132.2,494,3021
233,AMD,Radeon R7 360,2015,1,1500,0,1,96.0,75,2,28,512,2,1,125.0,448,2989
234,AMD,Radeon R7 370,2015,1,1400,1,1,179.2,110,2,28,1024,2,1,149.0,516,4291
235,AMD,Radeon R7 M260,2014,1,1000,4,0,16.0,35,2,28,256,2,0,799.0,143,474
236,AMD,Radeon R9 270,2013,1,1400,1,1,179.2,150,2,28,512,2,3,99.0,653,4213
237,AMD,Radeon R9 270X,2013,1,1400,1,1,179.2,180,2,28,512,2,3,149.9,569,4711
238,AMD,Radeon R9 280,2014,10,1250,2,1,240.0,200,2,28,768,2,3,279.0,557,5303
239,AMD,Radeon R9 280X,2013,10,1500,2,1,288.0,250,2,28,768,2,3,299.0,665,6267
240,AMD,Radeon R9 295X2,2014,11,1250,3,1,640.0,500,2,28,2048,2,9,499.1,813,8218
241,AMD,Radeon R9 380,2015,1,1375,1,1,176.0,190,4,28,768,2,3,89.9,630,6098
242,AMD,Radeon R9 380X,2015,2,1425,1,1,182.4,190,4,28,768,2,3,445.0,672,6318
243,AMD,Radeon R9 390,2015,11,1500,3,1,384.0,275,2,28,1024,2,8,329.0,788,8804
244,AMD,Radeon R9 390X,2015,11,1500,3,1,384.0,275,2,28,1024,2,4,429.0,834,9674
245,Nvidia,GeForce GT 640M LE v2,2012,1,785,0,1,50.2,32,4,40,256,2,1,389.9,789,14767
246,AMD,Radeon X1550,2007,6,400,0,5,12.8,27,6,65,0,11,15,113.0,253,67
247,Nvidia,Tesla C2050,2010,10,750,2,1,144.0,238,4,40,768,2,13,269.9,493,3515
248,Nvidia,Tesla C2075,2011,3,750,2,1,144.0,247,4,40,768,2,13,340.5,537,3364
