,name,year,TDP,Price,CPU_Mark,Thread_Mark
244,AMD A8-3510MX APU,2011,45.0,77.1,1580,949
245,AMD Athlon II X2 270,2011,65.0,38.02,1265,1375
246,AMD Athlon II X3 460,2011,95.0,29.95,1854,1358
247,AMD Athlon II X4 650,2011,95.0,166.6,2390,1311
248,AMD Opteron 4184,2011,95.0,509.9,4419,969
249,AMD A4-3400 APU,2011,65.0,11.95,1025,1109
250,AMD A6-3500 APU,2011,65.0,14.95,1292,905
251,AMD A8-3800 APU,2011,65.0,119.9,1877,1045
252,AMD Athlon II X2 B26,2011,65.0,44.9,1196,1257
253,AMD Athlon II X4 631 Quad-Core,2011,100.0,34.8,2095,1119
254,AMD E2-3000M APU,2011,35.0,42.98,666,751
255,AMD FX-8150 Eight-Core,2011,125.0,139.95,4968,1377
256,AMD FX-4100 Quad-Core,2011,95.0,39.38,2591,1313
257,AMD FX-6100 Six-Core,2011,95.0,118.68,3650,1332
258,AMD FX-8120 Eight-Core,2011,125.0,99.95,4341,1320
259,AMD A4-3300 APU,2011,65.0,10.95,977,1032
260,AMD A6-3600 APU,2011,65.0,24.95,1719,931
261,AMD A8-3870K APU,2011,100.0,49.99,2377,1274
262,AMD E2-3200 APU,2011,65.0,7.9,860,945
263,AMD Opteron 6272,2011,115.0,22.22,4368,741
264,AMD Sempron X2 180,2011,45.0,69.4,813,824
265,AMD A4-3420 APU,2012,65.0,12.95,1106,1155
266,AMD A6-3670 APU,2012,100.0,610.0,2073,1106
267,AMD A8-3520M APU,2012,35.0,55.0,1342,800
268,AMD A8-3820 APU,2012,65.0,44.9,2017,1097
269,AMD FX-8100 Eight-Core,2012,95.0,128.86,3470,966
270,AMD Opteron 6234,2012,115.0,112.86,3763,551
271,AMD Phenom II X2 B59,2012,80.0,34.04,1305,1364
272,AMD A4-3305M APU,2012,35.0,20.8,787,861
273,AMD A6-3620 APU,2012,65.0,22.95,1795,996
274,AMD Athlon II X4 651 Quad-Core,2012,100.0,149.95,2356,1297
275,AMD Opteron 6274,2012,115.0,35.09,3149,898
276,AMD A4-3320M APU,2012,35.0,36.9,879,833
277,AMD Athlon II X4 641 Quad-Core,2012,100.0,79.8,1983,1158
278,AMD FX-4170 Quad-Core,2012,125.0,128.6,2897,1436
279,AMD FX-6200 Six-Core,2012,125.0,98.86,3995,1404
280,AMD FX-8140 Eight-Core,2012,95.0,148.86,4577,1345
281,AMD A10-4600M APU,2012,35.0,59.9,1977,1109
282,AMD A6-4400M APU,2012,35.0,19.5,1011,984
283,AMD Phenom II X3 B77,2012,95.0,22.2,1919,1343
284,AMD Sempron 130,2012,45.0,30.0,513,1002
285,AMD A4-4300M APU,2012,35.0,29.86,1053,1074
286,AMD A10-5700 APU,2012,65.0,59.95,2722,1440
287,AMD A8-5500 APU,2012,65.0,30.19,2563,1357
288,AMD FX-6120 Six-Core,2012,95.0,98.68,3873,1452
