,name,size,latency,readRate,writeRate,Price,RAMmark
487,Samsung M378A5143DB0-CPB 4GB,4,36.25,13.9,10.3,34.0,574.6139827523
488,Samsung M378A5244CB0-CRC 4GB,4,32.0,14.6,8.4,21.9,649.8115146050125
489,Samsung M378A5244CB0-CTD 4GB,4,31.0,16.2,11.0,21.3,671.6238056001741
490,Samsung M386A4G40DM0-CPB 32GB,32,49.0,9.4,7.7,161.7,424.96814207360603
491,Samsung M386A8K40BM1-CRC 64GB,64,34.0,10.4,7.5,329.9,610.8995593314764
492,Samsung M391A1G43DB0-CPB 8GB,8,31.0,11.7,6.8,99.9,669.6670826061742
493,Samsung M391A2K43BB1-CPB 16GB,16,26.0,15.7,9.5,119.9,799.1421793710539
494,Samsung M393A1G40DB0-CPB 8GB,8,45.81818182,11.2,9.0,114.3,454.89250500161694
495,Samsung M393A1G40DB1-CRC 8GB,8,33.0,10.7,7.4,62.9,629.3167588402787
496,Samsung M393A1G43DB0-CPB 8GB,8,52.42857143,9.2,8.1,60.2,397.50331311673267
497,Samsung M393A1G43EB1-CRC 8GB,8,34.0,11.1,7.2,121.8,610.9350466263763
498,Samsung M393A1K43BB0-CRC 8GB,8,33.0,11.1,8.9,83.0,629.8084710355788
499,Samsung M393A2G40DB0-CPB 16GB,16,57.64705882,9.7,8.0,59.7,361.92670585532886
500,Samsung M393A2G40DB1-CRC 16GB,16,35.0,10.8,7.3,169.9,593.5689289445285
501,Samsung M393A2G40EB1-CRC 16GB,16,48.8,9.9,7.6,175.0,426.751886826759
502,Samsung M393A2G40EB2-CTD 16GB,16,44.0,8.5,5.6,107.9,472.08317072540905
503,Samsung M393A2K40BB0-CPB 16GB,16,54.0,5.3,4.2,59.9,384.27901522719253
504,Samsung M393A2K40BB1-CRC 16GB,16,34.0,10.3,7.7,137.9,610.9388125482764
505,Samsung M393A2K43BB1-CRC 16GB,16,38.0,9.5,7.4,215.9,546.8222239105788
506,Samsung M393A4K40BB0-CPB 32GB,32,57.33333333,9.0,7.1,203.5,363.5117463490444
507,Samsung M393A4K40BB1-CRC 32GB,32,47.33333333,10.5,7.9,367.9,440.04369227286713
508,Samsung M393A4K40BB2-CTD 32GB,32,44.0,10.8,8.3,189.1,473.23934367650907
509,Samsung M393A4K40CB1-CRC 32GB,32,35.0,9.7,7.8,242.5,593.5212218918285
510,Samsung M393A5143DB0-CPB 4GB,4,52.66666667,9.5,8.2,44.4,395.80342475103413
511,Samsung M471A1G43DB0-CPB 8GB,8,38.71794872,14.0,10.4,45.0,538.3696596182697
512,Samsung M471A1G43EB1-CRC 8GB,8,25.0,14.8,9.3,37.6,830.6821059911
513,Samsung M471A1K43BB0-CPB 8GB,8,37.5,13.2,9.1,29.0,555.1779502882333
514,Samsung M471A1K43BB1-CRC 8GB,8,35.64285714,14.7,10.0,38.0,584.3645299957022
515,Samsung M471A1K43CB1-CRC 8GB,8,39.84090909,13.8,9.6,40.4,523.0855379301285
516,Samsung M471A1K43CB1-CTD 8GB,8,34.96,16.0,11.6,35.5,596.3486256343684
517,Samsung M471A1K43DB1-CTD 8GB,8,33.90721649,16.4,12.1,45.0,614.8874595479492
518,Samsung M471A2K43BB1-CPB 16GB,16,38.5,13.4,8.5,164.9,540.7483201330532
519,Samsung M471A2K43CB1-CRC 16GB,16,37.71052632,14.0,8.4,60.0,552.0453578288696
520,Samsung M471A2K43CB1-CTD 16GB,16,35.90196078,16.0,11.0,30.9,580.6908465998702
521,Samsung M471A5143DB0-CPB 4GB,4,37.28571429,13.9,10.3,43.7,558.7994296831226
522,Samsung M471A5143EB0-CPB 4GB,4,34.0,13.1,8.4,26.7,611.6166650403763
523,Samsung M471A5143EB1-CRC 4GB,4,95.0,15.8,7.3,46.9,222.01192453573157
524,Samsung M471A5244CB0-CRC 4GB,4,36.0,14.9,10.9,23.9,578.9084302106888
525,Samsung M471A5244CB0-CTD 4GB,4,36.25,16.1,11.1,15.8,575.2170947326998
526,Samsung M474A2K43BB1-CRC 16GB,16,25.0,16.2,12.8,159.4,831.9095035183999
527,Super Talent F24EA8GS 8GB,8,92.0,11.6,9.7,88.7,229.0522122262
528,Super Talent F24EB8GS 8GB,8,31.33333333,16.2,12.4,127.3,664.9363236372999
529,Super Talent F26UB16GH 16GB,16,29.0,8.7,6.5,102.4,714.9809549508999
