name,DDR3_4,size,totalSize,latency,readRate,writeRate,Price,RAMmark
Corsair CMK64GX4M4C3000C15 16GB,1,16,64,24,17.3,13.9,449.9,866.8051504
Corsair CMK64GX4M4C3200C16 16GB,1,16,64,26,17.4,14.7,499.9,800.9005423
Corsair CMK64GX4M4D3000C16 16GB,1,16,64,25,16.5,14.9,299.9,832.5532907
Corsair CMK64GX4M4K3733C17 16GB,1,16,64,20,19.4,15,839.9,1039.458985
Corsair CMK64GX4M8A2133C13 8GB,1,8,64,28,13.2,10.6,269.9,742.3257184
Corsair CMK64GX4M8A2400C14 8GB,1,8,64,36.33333333,13.5,10.4,499.9,573.2677688
Corsair CMK64GX4M8A2666C16 8GB,1,8,64,28,13.2,10.1,519.9,742.1846912
Corsair CMK64GX4M8B2800C14 8GB,1,8,64,27,14.1,11.8,379.9,770.1175334
Corsair CMK64GX4M8X3600C18 8GB,1,8,64,19,20.2,17.2,729.9,1094.52727
Corsair CMK64GX4M8X4000C19 8GB,1,8,64,29,12.6,14.8,879.9,717.9911549
Corsair CMK64GX4M8X4133C19 8GB,1,8,64,26,12.3,15.3,899.9,800.1947344
Corsair CMK64GX4M8X4200C19 8GB,1,8,64,28,12.9,15,919.9,743.5152847
Corsair CMK64GX4M8Z2933C16 8GB,1,8,64,84,12.8,10.5,459.9,250.8481282
Corsair CMK128GX4M8A2133C13 16GB,1,16,12,26,15.2,11,999.9,799.4794726
Corsair CMK128GX4M8A2666C16 16GB,1,16,12,32,11.4,13,999.9,650.5599197
Corsair CMK128GX4M8B3000C16 16GB,1,16,12,27,13.7,11.1,764.9,769.8514647
Corsair CMK128GX4M8B3200C16 16GB,1,16,12,27,14.3,9.9,949.9,769.6159454
Corsair CMR16GX4M2A2666C16 8GB,1,8,16,26.33333333,18,13.4,476.9,790.5891099
Corsair CMR16GX4M2C3000C15 8GB,1,8,16,29.55,18.1,13.7,136.6,705.3788747
Corsair CMR16GX4M2C3000C16 8GB,1,8,16,24.33333333,19.1,14.6,258.9,855.5317508
Corsair CMR16GX4M2C3200C16 8GB,1,8,16,26.5,17.9,12.9,275.3,785.5018608
Corsair CMR16GX4M2C3466C16 8GB,1,8,16,26.75,18.8,14,369.6,778.6881084
Corsair CMR16GX4M2C3600C18 8GB,1,8,16,25.66666667,19.5,14.7,359.9,811.5695402
Corsair CMR16GX4M2C 8GB,1,8,16,66,11.4,7.2,115.3,316.6836081
Corsair CMR16GX4M2D3000C16 8GB,1,8,16,21,18.3,13.3,146.5,989.6526828
Corsair CMR16GX4M2D3200C16 8GB,1,8,16,25.33333333,18.8,13.7,194.3,821.7473508
Corsair CMR16GX4M2Z3200C16 8GB,1,8,16,22,18.7,14.7,293.3,945.445212
Corsair CMR32GX4M2C3000C15 16GB,1,16,32,20,19.2,14.5,383.6,1039.283642
Corsair CMR32GX4M2C3200C16 16GB,1,16,32,25.375,20.3,16.2,298.2,821.3721543
Corsair CMR32GX4M2C3333C16 16GB,1,16,32,22,18.8,14.4,507.6,945.3777533
Corsair CMR32GX4M2D3000C16 16GB,1,16,32,21,18.9,15.1,235.9,990.2633267
Corsair CMR32GX4M2F3600C18 16GB,1,16,32,25,16.7,13.2,761.9,832.1081136
Corsair CMR32GX4M4A2666C16 8GB,1,8,32,26,15.6,13.4,538.3,800.2250338
Corsair CMR32GX4M4C3000C15 8GB,1,8,32,35.1875,16.1,14,638.5,593.2260052
Corsair CMR32GX4M4C3000C16 8GB,1,8,32,20,19,15.5,764.4,1039.531381
Corsair CMR32GX4M4C3200C16 8GB,1,8,32,27,18.8,13.9,532.7,771.5162575
Corsair CMR32GX4M4C3333C16 8GB,1,8,32,22,18.2,14.8,848,945.3876291
Corsair CMR32GX4M4C3466C16 8GB,1,8,32,22,17.8,14.6,523.3,945.2625876
Corsair CMR32GX4M4C3600C18 8GB,1,8,32,22,18.2,14.5,649.9,945.3030128
Corsair CMR32GX4M4D3000C16 8GB,1,8,32,23,17.2,14.2,470.8,904.2602751
Corsair CMR64GX4M4C3000C15 16GB,1,16,64,23,18.4,13.6,769.9,904.2969344
Corsair CMR64GX4M4C3200C16 16GB,1,16,64,24,16.8,14.1,499.9,866.7757729
Corsair CMR64GX4M8C3000C15 8GB,1,8,64,98,10.7,9,969.9,214.9661106
Corsair CMR64GX4M8X3800C19 8GB,1,8,64,64,14.3,10.4,889.9,327.8555305
Corsair CMR128GX4M8C3000C16 16GB,1,16,12,21,19.7,15.9,999.9,990.6262314
Corsair CMSO4GX4M1A2133C15 4GB,1,4,4,28,12.2,8.3,24.9,741.5054168
Corsair CMSO8GX4M1A2133C15 8GB,1,8,8,39,14.6,11,38,534.7868899
Corsair CMSO16GX4M1A2133C15 16GB,1,16,16,28,13.7,9.1,68.9,741.9884251
Corsair CMSO16GX4M2A2133C15 8GB,1,8,16,28,15.1,11.9,444.9,743.0183846
Corsair CMSO32GX4M2A2133C15 16GB,1,16,32,32,13.3,10.9,373.8,650.293601
Corsair CMSX8GX4M1A2400C16 8GB,1,8,8,25,15.6,10.5,38.9,831.1578325
Corsair CMSX8GX4M2A2400C16 4GB,1,4,8,25,15.1,10.7,65.9,831.1284551
Corsair CMSX8GX4M2A2666C18 4GB,1,4,8,30,17.6,12.9,134.8,694.591305
Corsair CMSX16GX4M1A2400C16 16GB,1,16,16,33,16.2,12.1,125.5,631.5860856
Corsair CMSX16GX4M1A2666C18 16GB,1,16,16,31.16666667,16.7,13.8,73.9,668.9392302
Corsair CMSX16GX4M2A2400C16 8GB,1,8,16,32.22222222,15.7,12,72.9,646.5678016
Corsair CMSX16GX4M2A2666C18 8GB,1,8,16,27,15.6,12,99.9,770.4313091
Corsair CMSX16GX4M2A3000C16 8GB,1,8,16,22,16.7,13,129.9,944.6225664
Corsair CMSX32GX4M2A2400C16 16GB,1,16,32,33.5,15.1,11.5,137.9,621.8938846
Corsair CMSX32GX4M2A2666C18 16GB,1,16,32,36.42105263,15.8,12.6,139.9,572.9148555
Corsair CMSX32GX4M2A3000C16 16GB,1,16,32,32.71428571,17.5,13.7,249.9,637.7223758
Corsair CMSX64GX4M4A2400C16 16GB,1,16,64,26,15.8,12.5,289.9,800.0055002
Corsair CMSX64GX4M4A2666C18 16GB,1,16,64,24,16.6,14,559.9,866.7132522
Corsair CMT16GX4M2C3200C16 8GB,1,8,16,24.44444444,19.7,16.1,146.9,852.2026118
Corsair CMT16GX4M2C3600C18 8GB,1,8,16,23,20,16.5,179.9,905.3894146
Corsair CMT16GX4M2K3600C16 8GB,1,8,16,24,20.1,15.7,259.9,867.7932627
Corsair CMT32GX4M2C3000C15 16GB,1,16,32,27.25,18.5,14.9,254.9,764.7342695
Corsair CMT32GX4M2C3200C16 16GB,1,16,32,26.75,19.2,15.3,229.9,779.1234097
Corsair CMT32GX4M2C3466C16 16GB,1,16,32,30.33333333,16.9,12.8,299.9,686.8832921
Corsair CMT32GX4M4C3000C15 8GB,1,8,32,22,18,14.8,249.9,945.3533138
Corsair CMT32GX4M4C3200C14 8GB,1,8,32,18,20.2,17.9,519.9,1155.069713
Corsair CMT32GX4M4C3200C16 8GB,1,8,32,27.875,18.9,15.3,269.9,747.9346122
Corsair CMT32GX4M4C3600C18 8GB,1,8,32,25,17.4,14.5,379.9,832.5948879
Corsair CMT32GX4M4K3600C16 8GB,1,8,32,21.75,20.9,17.9,529.9,957.5079042
Corsair CMT64GX4M4K3600C18 16GB,1,16,64,22,18,14.4,689.9,945.240492
Corsair CMU16GX4M2A2666C16 8GB,1,8,16,29.75,16.8,11.7,213.9,699.8965286
Corsair CMU16GX4M2C3000C15 8GB,1,8,16,27.70833333,19,14.4,159.6,752.1513128
Corsair CMU16GX4M2C3200C16 8GB,1,8,16,26.73913043,18.8,13.9,199.9,778.9735265
Corsair CMU16GX4M2D3000C16 8GB,1,8,16,20,19.7,14.9,335,1039.482252
Corsair CMU32GX4M2A2666C16 16GB,1,16,32,24,17.1,13,484.6,866.5169861
Corsair CMU32GX4M2C3000C15 16GB,1,16,32,32.5,16.5,12,435.9,641.2307945
Corsair CMU32GX4M2C3000C16 16GB,1,16,32,22,18.4,13.5,623.8,945.0552737
Corsair CMU32GX4M2C3200C16 16GB,1,16,32,24.66666667,19.5,15.2,399.9,844.3083078
Corsair CMU32GX4M2D3200C16 16GB,1,16,32,30,15,12.3,732.2,693.9759733
Corsair CMU32GX4M4A2666C16 8GB,1,8,32,24,16.7,12.6,349.9,866.3355337
Corsair CMU32GX4M4C3000C15 8GB,1,8,32,34.5,15.4,12.5,377.1,604.3706162
Corsair CMU32GX4M4C3200C16 8GB,1,8,32,22,17.3,13,358.1,944.7255123
Corsair CMU32GX4M4C3400C16 8GB,1,8,32,22,17.7,13.3,329.9,944.8787592
Corsair CMU32GX4M4C3466C16 8GB,1,8,32,22,17.9,14.2,349.9,945.1669235
Corsair CMU32GX4M4D3000C16 8GB,1,8,32,94,11.1,8.8,575.4,223.9396815
Corsair CMU64GX4M4A2666C16 16GB,1,16,64,24,17.5,13.3,699.9,866.670233
Corsair CMU64GX4M4C3000C15 16GB,1,16,64,27,14.9,11.5,951.5,770.1701783
Corsair CMU64GX4M4C3200C16 16GB,1,16,64,24,16.4,12.1,583.4,866.1430336
Corsair CMU64GX4M4D3000C16 16GB,1,16,64,73,14,10.6,829.9,288.1040632
Corsair CMV4GX4M1A2133C15 4GB,1,4,4,33.2,14.2,9.8,24.9,626.8267755
Corsair CMV4GX4M1A2666C18 4GB,1,4,4,23,17.4,13.8,24.9,904.1817687
Corsair CMV8GX4M1A2133C15 8GB,1,8,8,33.75,13.9,8.7,36.9,616.3348371
Corsair CMV8GX4M1A2666C18 8GB,1,8,8,23,17.1,10.6,42.9,903.2277217
Corsair CMV16GX4M1A2133C15 16GB,1,16,16,31.6,15.6,10.4,66.9,658.7109625
Corsair CMV16GX4M1A2666C18 16GB,1,16,16,23,16.9,11.1,68.9,903.3344335
Corsair CMW16GX4M2A2666C16 8GB,1,8,16,29.42857143,17.2,12.4,180.2,707.7395706
Corsair CMW16GX4M2C3000C15 8GB,1,8,16,27.86538462,18.2,14.3,145.1,747.7879325
Corsair CMW16GX4M2C3200C14 8GB,1,8,16,18,20.4,16.2,214.9,1154.624536
Corsair CMW16GX4M2C3200C16 8GB,1,8,16,26.92307692,18.7,14.6,114.9,773.8804524
Corsair CMW16GX4M2C3466C16 8GB,1,8,16,26.33333333,18.4,11.5,149.9,790.1218373
Corsair CMW16GX4M2C3600C18 8GB,1,8,16,26.125,19.1,15.6,149.9,797.6481341
Corsair CMW16GX4M2D3000C16 8GB,1,8,16,29.25,16.6,12.6,102.9,711.9744212
Corsair CMW16GX4M2K3600C16 8GB,1,8,16,16,22.3,19,229.9,1299.05967
Corsair CMW16GX4M2K4000C19 8GB,1,8,16,22,17.8,14.8,535.7,945.3189985
Corsair CMW16GX4M2K4266C19 8GB,1,8,16,18,20.6,16.2,478.5,1154.658851
Corsair CMW16GX4M2Z2933C16 8GB,1,8,16,21,18,13.8,94.9,989.7422371
Corsair CMW32GX4M2A2666C16 16GB,1,16,32,29.85714286,17.2,13.2,159.9,697.8988364
Corsair CMW32GX4M2C3000C15 16GB,1,16,32,28.5,18.6,14.4,174.9,731.3929661
Corsair CMW32GX4M2C3200C16 16GB,1,16,32,27.925,18.6,14.6,199.9,746.3600496
Corsair CMW32GX4M2C3466C16 16GB,1,16,32,24,19.9,16.2,269.9,867.8999745
Corsair CMW32GX4M2Z2933C16 16GB,1,16,32,54,17.9,10.6,169.9,388.2460282
Corsair CMW32GX4M4A2666C16 8GB,1,8,32,37.5,15.1,13.5,179.9,556.744985
Corsair CMW32GX4M4C3000C15 8GB,1,8,32,26.28571429,19.1,15.2,189.9,792.7053266
Corsair CMW32GX4M4C3200C14 8GB,1,8,32,17,21.6,17.3,409.9,1222.585105
Corsair CMW32GX4M4C3200C16 8GB,1,8,32,27.73076923,18.4,14.6,199.9,751.5021646
Corsair CMW32GX4M4C3466C16 8GB,1,8,32,20,19.1,14.6,279.9,1039.29469
Corsair CMW32GX4M4C3600C18 8GB,1,8,32,27.6,17.9,14.1,299.9,754.801509
Corsair CMW32GX4M4K4000C19 8GB,1,8,32,22.33333333,20.6,18,755.9,932.7006358
Corsair CMW32GX4M4Z2933C16 8GB,1,8,32,63,15.4,10.7,209.9,333.2474306
Corsair CMW64GX4M4A2666C16 16GB,1,16,64,23,17.8,14.1,299.9,904.3350156
Corsair CMW64GX4M4C3000C15 16GB,1,16,64,28,18,14.5,349.9,744.2492981
Corsair CMW64GX4M4C3200C16 16GB,1,16,64,30,18.2,15.3,399.9,695.3711815
Corsair CMW64GX4M4C3466C16 16GB,1,16,64,22,18.2,15.2,499.9,945.5004508
Corsair CMW64GX4M4K3600C18 16GB,1,16,64,26.66666667,18.4,14,649.9,781.030458
Corsair CMW64GX4M8A2666C16 8GB,1,8,64,24,16,11.6,379.9,865.9333757
Corsair CMW64GX4M8C3000C15 8GB,1,8,64,26,15.2,15.5,575.3,800.7487173
Corsair CMW64GX4M8C3200C16 8GB,1,8,64,27,13,15.3,399.9,770.9159894
Corsair CMW64GX4M8X3600C18 8GB,1,8,64,21,17.2,13.1,619.9,989.4075377
Corsair CMW64GX4M8Z2933C16 8GB,1,8,64,35,10,12.4,439.9,594.870145
Corsair CMW128GX4M8C3000C16 16GB,1,16,12,23,14.7,11.4,979.9,903.0415814
Corsair CMW128GX4M8C3200C16 16GB,1,16,12,26,16.1,15.7,819.9,800.9595471
Crucial Technology BLE4G4D26AFEA.8FAD 4GB,1,4,4,24,15.3,12.1,94.1,865.9542993
Crucial Technology BLE4G4D32AEEA.K8FD 4GB,1,4,4,23,17.3,13,144.9,903.9389675
Crucial Technology BLE4G4D32AEEA.K8FE 4GB,1,4,4,22,17.6,12.8,144.2,944.7205744
Crucial Technology BLE8G4D26AFEA.16FAD 8GB,1,8,8,32.25,16.1,11.6,129.7,645.97194
Crucial Technology BLE8G4D30AEEA.K16FD 8GB,1,8,8,62,18,9.5,141.7,338.6387285
Crucial Technology BLE8G4D30AEEA.K16FE 8GB,1,8,8,21,18.8,14.6,49.9,990.1051418
Crucial Technology BLE8G4D36BEEAK.M8FE1 8GB,1,8,8,21.8,21.3,17.5,77.9,955.2873985
Crucial Technology BLS4G4D26BFSB.8FBD2 4GB,1,4,4,24,15.7,12.4,36.9,866.1075463
Crucial Technology BLS4G4D26BFSB.8FBR2 4GB,1,4,4,21,17.7,13.6,115.3,989.6343532
Crucial Technology BLS4G4D240FSA.8FAD 4GB,1,4,4,28,12.8,10.2,27.9,742.144266
Crucial Technology BLS4G4D240FSA.M8FADM 4GB,1,4,4,28,12.9,10.2,68.9,742.1614237
Crucial Technology BLS4G4D240FSB.8FADG 4GB,1,4,4,27,14.4,10.7,29.9,769.8587465
Crucial Technology BLS4G4D240FSC.8FARG 4GB,1,4,4,23,17.3,12.9,26.9,903.9107621
Crucial Technology BLS4G4D240FSE.8FAR 4GB,1,4,4,24,15.1,10.8,19.9,865.5533133
Crucial Technology BLS4G4D240FSE.8FBD 4GB,1,4,4,23,16.4,11.8,18.9,903.4460833
Crucial Technology BLS4G4S26BFSD.8FBD2 4GB,1,4,4,69,16.1,8.5,80.1,304.2611737
Crucial Technology BLS4G4S26BFSD.8FBR2 4GB,1,4,4,27,15.3,11.6,85.3,770.2670144
Crucial Technology BLS4G4S240FSD.8FAR 4GB,1,4,4,28,15.5,11.4,30.1,742.945988
Crucial Technology BLS4G4S240FSD.M8FADM 4GB,1,4,4,25,15.4,12.5,19.9,831.6876259
Crucial Technology BLS8G4D26BFSB.16FBD2 8GB,1,8,8,29.4,17.1,12.7,49.9,708.488556
Crucial Technology BLS8G4D26BFSE.16FB 8GB,1,8,8,24,14.3,7,117.9,864.3442454
Crucial Technology BLS8G4D26BFSTK.8FD 8GB,1,8,8,25.66666667,18.4,13.8,32.9,811.126957
Crucial Technology BLS8G4D30AESBK.M8FE 8GB,1,8,8,26.5,18.4,14.2,37.9,785.9543198
Crucial Technology BLS8G4D30AESCK.M8FE 8GB,1,8,8,26,18.6,14.3,37.9,800.9936125
Crucial Technology BLS8G4D30AESEK.M8FE 8GB,1,8,8,21,18.5,14.2,36.9,989.9408471
Crucial Technology BLS8G4D30CESTK.8FD 8GB,1,8,8,25.66666667,18.3,13.7,38.9,811.0815939
Crucial Technology BLS8G4D32AESBK.M8FE 8GB,1,8,8,25.33333333,19.4,15.1,39.9,822.2451729
Crucial Technology BLS8G4D32AESCK.M8FE 8GB,1,8,8,20,18.4,14.7,38.9,1039.202792
Crucial Technology BLS8G4D32AESEK.M8FE 8GB,1,8,8,19,19.3,16.2,38.9,1094.090797
Crucial Technology BLS8G4D32AESTK.M8FE 8GB,1,8,8,19,20.4,17.4,38.9,1094.617996
Crucial Technology BLS8G4D240FSA.16FAD 8GB,1,8,8,28,12.7,9.8,134.9,742.0142866
Crucial Technology BLS8G4D240FSA.M16FAD 8GB,1,8,8,38.21428571,14.2,11.1,134.9,545.6267862
Crucial Technology BLS8G4D240FSB.16FADG 8GB,1,8,8,26,15.3,11.6,125.2,799.6658629
Crucial Technology BLS8G4S240FSD.16FAR 8GB,1,8,8,25,15.5,12.7,369.9,831.7611945
Crucial Technology BLS16G4D26BFSB.16FBD 16GB,1,16,16,22,17.9,12.6,169.8,944.7156365
Crucial Technology BLS16G4D26BFSE.16FBD 16GB,1,16,16,24,16.9,12.1,248.7,866.2288219
Crucial Technology BLS16G4D26BFST.16FD 16GB,1,16,16,24,17.7,13.7,64.9,866.8173701
Crucial Technology BLS16G4D30AESB.M16FE 16GB,1,16,16,26,18.2,13.1,73.9,800.5865166
Crucial Technology BLS16G4D30AESC.M16FE 16GB,1,16,16,26.8,17.3,10.5,76.9,776.0041619
Crucial Technology BLS16G4D30AESE.M16FE 16GB,1,16,16,22,18.9,13.8,74.9,945.2256783
Crucial Technology BLS16G4D30BESB.16FD 16GB,1,16,16,21,19,14.3,62.9,990.0548408
Crucial Technology BLS16G4D30CEST.16FD 16GB,1,16,16,21,17.7,12.1,69.9,989.2112716
Crucial Technology BLS16G4D32AESB.M16FE 16GB,1,16,16,25.73684211,20.1,16,77.9,809.8467162
Crucial Technology BLS16G4D32AESC.M16FE 16GB,1,16,16,26.125,19.7,15.6,85.9,797.75108
Crucial Technology BLS16G4D32AESE.M16FE 16GB,1,16,16,25.25,18.8,15.6,73.9,824.9718928
Crucial Technology BLS16G4D32AEST.M16FE 16GB,1,16,16,21,18.8,15.3,77.9,990.3025799
Crucial Technology BLS16G4D240FSB.16FAD 16GB,1,16,16,25,15.9,11.2,65.9,831.4067435
Crucial Technology BLS16G4D240FSC.16FAD 16GB,1,16,16,24,16.5,11.8,62.9,866.0755749
Crucial Technology BLS16G4D240FSE.16FAD 16GB,1,16,16,25,15.4,11,63.9,831.2645444
Crucial Technology BLS16G4S26BFSD.16FBD 16GB,1,16,16,27,15,11.4,153.9,770.1591305
Crucial Technology BLS16G4S240FSD.16FAD 16GB,1,16,16,29,13.7,10.9,99.9,717.0798771
Crucial Technology BLT4G4D26AFTA.8FADG 4GB,1,4,4,23,16.5,12.6,33.9,903.6888845
Crucial Technology BLT4G4D30AETA.K8FE 4GB,1,4,4,20,18.5,14.3,34.9,1039.107128
Crucial Technology BLT8G4D26AFTA.16FAD 8GB,1,8,8,23,16.9,12.3,39.9,903.6728988
Crucial Technology BLT8G4D30AETA.K16FE 8GB,1,8,8,26.33333333,19,14.2,59.9,790.98633
Crucial Technology CT4G4DFS824A.C8FBD1 4GB,1,4,4,23,16.1,13.3,38.3,903.8176919
Crucial Technology CT4G4DFS8213.8FA11 4GB,1,4,4,24,15.4,11.5,23.9,865.8022244
Crucial Technology CT4G4DFS8213.C8FAD1 4GB,1,4,4,30,11.9,10,20.9,692.7953608
Crucial Technology CT4G4DFS8213.C8FAR 4GB,1,4,4,28,12.6,9.9,41.9,742.0253344
Crucial Technology CT4G4DFS8266.C8FE 4GB,1,4,4,70,14.6,6.1,22.9,299.0540022
Crucial Technology CT4G4SFS624A.C4FB 4GB,1,4,4,84,14.8,6.8,33.2,250.1476802
Crucial Technology CT4G4SFS8213.C8FBD1 4GB,1,4,4,78,11.3,8.9,51.9,269.0387361
Crucial Technology CT8G4DFD824A.C16FADP 8GB,1,8,8,24,17.1,13.6,33.9,866.6862187
Crucial Technology CT8G4DFD824A.C16FBD1 8GB,1,8,8,23,16.9,11.5,63.1,903.4472553
Crucial Technology CT8G4DFD8213.16FA11 8GB,1,8,8,26,15.5,11.3,81.4,799.6155619
Crucial Technology CT8G4DFD8213.C16FA11 8GB,1,8,8,30.33333333,16.3,11.8,36.9,686.4982918
Crucial Technology CT8G4DFD8213.C16FAD1 8GB,1,8,8,29,13.2,10.4,44.9,716.8530616
Crucial Technology CT8G4DFD8213.C16FAR1 8GB,1,8,8,27,13.8,10.3,82.9,769.6429788
Crucial Technology CT8G4DFS824A.C8FAD1 8GB,1,8,8,24,15.3,10.1,34.99,865.3901906
Crucial Technology CT8G4DFS8213.C8FAD1 8GB,1,8,8,25,13.7,8,90.4,830.1267011
Crucial Technology CT8G4DFS8213.C8FBD1 8GB,1,8,8,33,13.2,7.8,49.9,629.858522
Crucial Technology CT8G4DFS8213.M8FA 8GB,1,8,8,26,14.2,9.6,28.9,798.9130199
Crucial Technology CT8G4DFS8266.C8FD1 8GB,1,8,8,27.66666667,17.6,13,33.99,752.6379609
Crucial Technology CT8G4SFD824A.C16FADP 8GB,1,8,8,31,15.6,11.8,33.9,671.7465032
Crucial Technology CT8G4SFD8213.C16FADP 8GB,1,8,8,29,13.1,9.6,49,716.6102605
Crucial Technology CT8G4SFD8213.C16FBD1 8GB,1,8,8,33,13.9,9.8,77.9,630.5427344
Crucial Technology CT8G4SFS824A.C8FAD1 8GB,1,8,8,26,14.8,9.6,39.9,799.0159659
Crucial Technology CT8G4SFS824A.C8FBD1 8GB,1,8,8,26,14.6,9.8,35.5,799.0380614
Crucial Technology CT8G4SFS824A.M8FA 8GB,1,8,8,24,13.7,6.5,54.6,864.1002723
Crucial Technology CT8G4SFS8213.C8FAD1 8GB,1,8,8,27,14.4,10.6,49,769.8305411
Crucial Technology CT8G4SFS8213.M8FB 8GB,1,8,8,28,12.5,8.6,54.6,741.6415061
Crucial Technology CT8G4SFS8266.C8FD1 8GB,1,8,8,26,16.5,11.2,39.9,799.7589331
Crucial Technology CT16G4DFD824A.C16FAD 16GB,1,16,16,35.75,16.7,11.8,67.99,583.4800509
Crucial Technology CT16G4DFD824A.C16FBD 16GB,1,16,16,25,16.2,11.8,96.9,831.6274491
Crucial Technology CT16G4DFD8213.16FDD1 16GB,1,16,16,76,13.6,6.4,88.1,275.6911115
Crucial Technology CT16G4DFD8213.C16FAD 16GB,1,16,16,32.4,15.7,11.2,109.9,642.827813
Crucial Technology CT16G4DFD8213.C16FBD 16GB,1,16,16,31,15.5,9.8,63.9,671.1652367
Crucial Technology CT16G4DFD8213.M16FA 16GB,1,16,16,25,16.2,11.3,69.9,831.486422
Crucial Technology CT16G4DFD8213.M16FB 16GB,1,16,16,25,16.1,11.3,58.7,831.4692643
Crucial Technology CT16G4DFD8266.C16FD1 16GB,1,16,16,30.3,17.2,12.1,59.9,687.4858125
Crucial Technology CT16G4SFD824A.C16FBD 16GB,1,16,16,34.66666667,14.5,8.8,119.9,600.2966217
Crucial Technology CT16G4SFD824A.C16FBR 16GB,1,16,16,27,14.5,10.5,112.8,769.8194933
Crucial Technology CT16G4SFD824A.M16FA 16GB,1,16,16,25,15.9,12.9,81.7,831.886236
Crucial Technology CT16G4SFD8213.C16FAD 16GB,1,16,16,29,13.6,10.4,199.9,716.9216923
Crucial Technology CT16G4SFD8213.C16FBD 16GB,1,16,16,29,13.7,10.2,63.9,716.882439
Crucial Technology CT16G4SFD8213.M16FA 16GB,1,16,16,26,15.4,11.4,51.9,799.6266097
Crucial Technology CT16G4SFD8213.M16FB 16GB,1,16,16,28,13.7,10.9,62.3,742.496123
G Skill Intl F4-2133C15-8GRK 8GB,1,8,8,28,12.9,10.7,139.9,742.3024509
G Skill Intl F4-2400C15-4GNT 4GB,1,4,4,25,14.7,11.1,71.9,831.1726462
G Skill Intl F4-2400C15-4GRK 4GB,1,4,4,38.66666667,13.1,11.3,120.4,539.1760316
G Skill Intl F4-2400C15-4GRR 4GB,1,4,4,38,13.1,10.5,132.9,548.3142682
G Skill Intl F4-2400C15-8GNT 8GB,1,8,8,29.83333333,16.5,11.8,183.2,697.9355125
G Skill Intl F4-2400C15-8GRK 8GB,1,8,8,40.33333333,13.2,10.5,356.9,516.9121258
G Skill Intl F4-2400C15-8GRR 8GB,1,8,8,34.57142857,15.5,11.4,142.9,602.8415582
G Skill Intl F4-2666C15-4GRR 4GB,1,4,4,34,15.3,11.8,98.9,612.9531184
G Skill Intl F4-2666C15-8GRR 8GB,1,8,8,26,14.2,11.4,360.9,799.4207178
G Skill Intl F4-2800C16-4GRK 4GB,1,4,4,31.83333333,16.3,13.4,103.2,654.8901015
G Skill Intl F4-3000C15-4GRR 4GB,1,4,4,39.25,13.1,10.5,224.1,531.0179292
G Skill Intl F4-3000C15-8GRK 8GB,1,8,8,29,16.3,10.9,164.9,717.5259762
Kingston HP24D4S7S8MBP-8 8GB,1,8,8,30.5,15.6,11.8,67.9,682.660301
Kingston HP26D4S9S8ME-8 8GB,1,8,8,31.66666667,16.2,12.6,41.9,658.0594785
Kingston HP26D4S9S8MH-8 8GB,1,8,8,35.16666667,14.7,10.6,69.9,592.3742745
Kingston KMKYF9-MID 8GB,1,8,8,31,15.8,12,54.9,671.8372293
Kingston KMKYF9-MIH 8GB,1,8,8,29,13.5,9.4,50,716.6224802
Kingston M378A1K43CB2-CRC 8GB,1,8,8,24,13.9,6.5,50.1,864.1345876
Micron Technology 8ATF1G64HZ-2G6B1 8GB,1,8,8,25,15.3,12.2,79.9,831.585852
Micron Technology 16ATF1G64AZ-2G1B1 8GB,1,8,8,35.57142857,15.1,10.7,74.8,585.7932931
Micron Technology 16ATF2G64HZ-2G3H1 16GB,1,16,16,42.75,12.6,7.4,89.2,487.0091064
Mushkin 99[2/7/4]183 8GB,1,8,8,27,15,11.6,68.9,770.2155414
Mushkin 99[2/7/4]190F 4GB,1,4,4,26,14.1,10.7,49.9,799.2061221
Mushkin 99[2/7/4]191[F/T] 4GB,1,4,4,26,14.5,10.1,46.9,799.1055201
Mushkin 99[2/7/4]191F 4GB,1,4,4,27,13.9,10.9,119.8,769.8293691
Mushkin 99[2/7/4]197F 8GB,1,8,8,27,12.8,11,88.3,769.6688403
Mushkin 99[2/7/4]198F 8GB,1,8,8,26,12.6,8.7,229.9,798.3846485
Mushkin 99[2/7/4]199[F/T] 8GB,1,8,8,24,15.9,11.4,89.9,865.8598072
Mushkin 99[2/7/4]199F 8GB,1,8,8,27,12.7,10.5,82.9,769.5106555
Mushkin 99[2/7/4]200[F/T] 8GB,1,8,8,29,12.7,6.3,101.5,715.6108504
Mushkin 99[2/7/4]200F 8GB,1,8,8,26,13.7,10.3,86.9,799.0246697
Mushkin 99[2/7/4]204F 4GB,1,4,4,25,13.4,11.5,36.9,831.0624184
Mushkin 99[2/7/4]205[F/T] 8GB,1,8,8,19,19.3,13.8,88.9,1093.413866
Mushkin 99[2/7/4]205F 8GB,1,8,8,26,13.5,11.3,229.9,799.2724088
Mushkin 99[2/7/4]209F 8GB,1,8,8,28,13.4,10.3,110,742.2754174
Mushkin MB[A/B]4U240FFFF16G 16GB,1,16,16,29,14.4,10.7,239.9,717.1435698
Mushkin MES4S213FF16G28 16GB,1,16,16,26,13.9,11.6,58.9,799.4256557
Mushkin MR[A/B]4U266GHHF8G 8GB,1,8,8,22,17.8,13.3,281.3,944.8959169
