ADATA SP920SS,476.9 GB,"3,195",14,2641,NA,NA,15-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP920SS&id=19981#price
ADATA SP920SS,238.5 GB,"2,916",216,3087,NA,NA,14-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP920SS&id=19038#price
ADATA SS D S599 128GB,111.8 GB,"1,997",1,4138,NA,NA,19-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SS+D+S599+128GB&id=23408#price
ADATA SSD DM900 128GB-DL4,119.2 GB,"3,248",1,2573,NA,NA,18-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DM900+128GB-DL4&id=16666#price
ADATA SSD DM900 1TB-DL4,953.9 GB,"3,079",1,2822,NA,NA,18-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DM900+1TB-DL4&id=15570#price
ADATA SSD DM900 512GB-DL4,476.9 GB,"4,257",3,1133,NA,NA,18-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DM900+512GB-DL4&id=16609#price
ADATA SSD DP900 128GB-,119.2 GB,"1,946",1,4180,NA,NA,16-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DP900+128GB-&id=11794#price
ADATA SSD DP900 256GB-,238.5 GB,"3,840",3,1627,NA,NA,16-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DP900+256GB-&id=11771#price
ADATA SSD DP900 256GB-DL3,238.5 GB,"2,990",10,2960,NA,NA,16-Jun,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DP900+256GB-DL3&id=12168#price
ADATA SSD DP900 512GB-,476.9 GB,"3,913",3,1512,NA,NA,15-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DP900+512GB-&id=10481#price
ADATA SSD DP900 512GB-DL3,476.9 GB,"4,012",3,1385,NA,NA,16-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DP900+512GB-DL3&id=13426#price
ADATA SSD DP910 1TB-DL,931.5 GB,"3,727",1,1793,NA,NA,15-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DP910+1TB-DL&id=10818#price
ADATA SSD DP910 1TB-DL3,931.5 GB,"3,688",4,1852,NA,NA,18-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+DP910+1TB-DL3&id=15995#price
ADATA SSD S396 60GB,59.6 GB,"1,448",4,4536,NA,NA,13-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S396+60GB&id=6026#price
ADATA SSD S510 120GB,111.8 GB,"2,593",17,3530,NA,NA,14-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S510+120GB&id=6526#price
ADATA SSD S510 120GB-D,111.8 GB,"2,836",1,3201,NA,NA,15-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S510+120GB-D&id=9259#price
ADATA SSD S510 120GB-DL2,111.8 GB,"2,943",2,3046,NA,NA,15-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S510+120GB-DL2&id=10354#price
ADATA SSD S510 60GB,55.9 GB,"1,266",2,4688,NA,NA,14-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S510+60GB&id=8600#price
ADATA SSD S510 60GB-DL2,55.9 GB,"2,089",3,4072,NA,NA,16-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S510+60GB-DL2&id=12118#price
ADATA SSD S511 120GB,111.8 GB,"3,191",5,2656,NA,NA,13-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S511+120GB&id=6294#price
